Engine Si2e(L),Cylin3ers,Fuel Type,Fuel Consumption (City (L/100 km),Fuel Consumption(Hwy (L/100 km)),Fuel Consumption(Comb (L/100 km)),Fuel Consumption(Comb (mpg)),,CO2 Emissions(g/km),,CO2 Rating,Smog Rating
2.4,4,2,9.9,7,8.6,33,,200,,6,3
3.5,6,2,12.6,9.4,11.2,25,,263,,4,5
2,4,2,11,8.6,9.9,29,,232,,5,6
2,4,2,11.3,9.1,10.3,27,,242,,5,6
2,4,2,11.2,8,9.8,29,,230,,5,7
2,4,2,11.3,8.1,9.8,29,,231,,5,7
3,6,2,12.3,9.4,11,26,,256,,5,5
3,6,2,12.3,9.8,11.2,25,,261,,4,5
2,4,2,10,7.2,8.7,32,,205,,6,3
2,4,2,10.5,7.7,9.2,31,,217,,5,3
2.9,6,2,13.5,9.3,11.6,24,,271,,4,3
2,4,2,10.3,8.1,9.3,30,,218,,5,3
2,4,2,10.8,8.3,9.6,29,,226,,5,3
2.9,6,2,13.9,10.3,12.3,23,,288,,4,3
4,8,2,13,9.8,11.5,25,,271,,4,5
5.2,12,2,16.4,10.7,13.8,20,,324,,3,3
5.2,12,2,16.4,10.7,13.8,20,,324,,3,3
4,8,2,16.8,11.9,14.6,19,,343,,3,5
4,8,2,13.1,9.6,11.5,25,,270,,4,5
2,4,1,8.5,6.6,7.6,37,,178,,7,7
2,4,2,9.1,7,8.2,34,,190,,6,5
2,4,2,9.8,7.6,8.8,32,,205,,6,5
2,4,2,9.8,7.9,8.9,32,,208,,6,5
2,4,2,10.4,7.5,9.1,31,,214,,5,5
2,4,2,9.8,7.6,8.8,32,,205,,6,5
2,4,2,9.8,7.6,8.8,32,,205,,6,5
2,4,2,10.2,7.4,8.9,32,,208,,6,5
3,6,2,11.1,7.8,9.6,29,,224,,5,5
3,6,2,11.5,8.3,10,28,,234,,5,5
3,6,2,11.1,7.8,9.6,29,,224,,5,5
3,6,2,12.6,8.3,10.6,27,,248,,5,5
2,4,1,10.4,7.7,9.2,31,,215,,5,7
2,4,1,11.4,8.3,10,28,,3,,5,7
2,4,2,10.3,8.1,9.3,30,,217,,5,5
2,4,2,10.3,8.4,9.4,30,,220,,5,5
2,4,2,10.3,8.4,9.4,30,,220,,5,5
2,4,2,12,9.4,10.8,26,,252,,5,3
3,6,2,12.8,10.5,11.7,24,,273,,4,5
3,6,2,12.8,10.5,11.7,24,,273,,4,5
5.2,10,2,16.7,10.3,13.8,20,,322,,3,1
5.2,10,2,17.9,12.1,15.3,18,,356,,3,1
5.2,10,2,16.7,10.3,13.8,20,,322,,3,1
5.2,10,2,17.9,12.1,15.3,18,,356,,3,1
2.9,6,2,13,9.4,11.4,25,,267,,4,5
2.9,6,2,13.1,9.4,11.4,25,,268,,4,5
4,8,2,16.1,10.7,13.7,21,,319,,3,3
4,8,2,16,10.5,13.5,21,,315,,3,3
4,8,2,18,12.3,15.4,18,,360,,2,3
2,4,2,10,7.2,8.8,32,,206,,6,5
3,6,2,11.1,8,9.7,29,,227,,5,5
3,6,2,11.3,8.4,10,28,,3,,5,5
3,6,2,11.1,8,9.7,29,,227,,5,5
3,6,2,11.1,8,9.7,29,,227,,5,5
2.9,6,2,12.8,8.5,10.9,26,,254,,5,5
2.9,6,2,12.8,8.5,10.9,26,,254,,5,5
4,8,2,16.9,10.2,13.8,20,,323,,3,3
3,6,2,12.5,9.7,11.2,25,,262,,4,5
3,6,2,12.5,9.7,11.2,25,,262,,4,5
4,8,2,16,11.4,13.9,20,,325,,3,3
4,8,2,16,11.4,13.9,20,,325,,3,3
2,4,1,10.5,7.9,9.4,30,,218,,5,7
2,4,1,10.5,7.9,9.4,30,,218,,5,7
2.5,5,2,11.7,8.1,10.1,28,,235,,5,3
2,4,2,10,7.7,9,31,,209,,5,3
4,8,2,15.8,9.9,13.2,21,,309,,3,3
6,12,2,19,13,16.3,17,,383,,2,3
4,8,2,14.9,9,12.2,23,,287,,4,3
6,12,2,19.6,12,16.2,17,,379,,2,3
4,8,2,15.2,9.2,12.5,23,,294,,4,3
6,12,2,20.3,12.9,17,17,,395,,2,3
4,8,2,15.5,11.6,13.7,21,,323,,3,3
6,12,2,19.2,12.2,16,18,,373,,2,3
2,4,2,9.5,6.9,8.3,34,,195,,6,7
2,4,2,10,7.1,8.7,32,,202,,6,7
2,4,2,10,7.1,8.7,32,,202,,6,7
2,4,2,10.1,7.4,8.9,32,,206,,6,7
3,6,2,10.5,8.1,9.4,30,,219,,5,5
4.4,8,2,13.9,9.6,12,24,,279,,4,3
4.4,8,2,13.9,9.6,12,24,,279,,4,3
4.4,8,2,13.9,9.6,12,24,,279,,4,3
4.4,8,2,13.9,9.6,12,24,,279,,4,3
4.4,8,2,15.7,11.5,13.8,20,,321,,3,3
2,4,2,10.4,7.8,9.2,31,,214,,5,3
3,6,2,10.4,7.5,9.1,31,,212,,5,5
3,6,2,14.7,10.1,12.6,22,,293,,4,5
3,6,2,14.5,10.2,12.6,22,,292,,4,5
3,6,2,14.6,10.5,12.7,22,,296,,4,5
3,6,2,10.4,7.7,9.2,31,,214,,5,5
3,6,2,15.1,10.4,12.9,22,,301,,3,5
3,6,2,14.7,10.1,12.6,22,,293,,4,5
3,6,2,14.5,10.2,12.6,22,,292,,4,5
3,6,2,14.6,10.5,12.7,22,,296,,4,5
3,6,2,10.4,7.4,9.1,31,,211,,5,5
3,6,2,10.4,7.7,9.2,31,,214,,5,5
3,6,2,10.9,8,9.6,29,,224,,5,5
4.4,8,2,16.1,11,13.8,20,,322,,3,3
4.4,8,2,16.1,11,13.8,20,,322,,3,3
4.4,8,2,16.1,11,13.8,20,,322,,3,3
4.4,8,2,13.5,9.3,11.6,24,,271,,4,3
6.6,12,2,17.8,11.9,15.1,19,,354,,3,3
4.4,8,2,16.1,11,13.8,20,,322,,3,3
4.4,8,2,16.1,11,13.8,20,,322,,3,3
4.4,8,2,16.1,11,13.8,20,,322,,3,3
4.4,8,2,16.1,11,13.8,20,,322,,3,3
4.4,8,2,16.1,11,13.8,20,,322,,3,3
4.4,8,2,16.1,11,13.8,20,,322,,3,3
4.4,8,2,13.9,9.6,12,24,,279,,4,3
4.4,8,2,13.5,9.3,11.6,24,,271,,4,3
4.4,8,2,13.9,9.6,12,24,,279,,4,3
2,4,2,10.3,7.7,9.1,31,,213,,5,7
2,4,2,9.9,7.6,8.8,32,,207,,6,7
2,4,2,9.9,7.6,8.9,32,,207,,6,3
2,4,2,11,8.5,9.9,29,,230,,5,7
3,6,2,15.7,11.7,13.9,20,,323,,3,3
3,6,2,15.7,11.7,13.9,20,,323,,3,3
3,6,2,11.2,9.1,10.3,27,,241,,5,5
2,4,2,11,8.5,9.9,29,,230,,5,7
3,6,2,15.7,11.7,13.9,20,,323,,3,3
3,6,2,15.7,11.7,13.9,20,,323,,3,3
3,6,2,11.2,9.1,10.3,27,,241,,5,5
3,6,2,11.3,9.2,10.4,27,,241,,5,3
4.4,8,2,17.9,13,15.7,18,,364,,2,3
4.4,8,2,17.9,13,15.7,18,,364,,2,3
4.4,8,2,14.4,10.6,12.7,22,,302,,3,3
3,6,2,11.3,9.2,10.4,27,,241,,5,3
4.4,8,2,17.9,13,15.7,18,,364,,2,3
4.4,8,2,17.9,13,15.7,18,,364,,2,3
4.4,8,2,14.4,10.6,12.7,22,,302,,3,3
3,6,2,12.1,9.8,11.1,25,,256,,5,3
4.4,8,2,15.7,11.5,13.8,20,,321,,3,3
2,4,2,9.4,7.4,8.5,33,,199,,6,7
3,6,2,10.8,8.1,9.6,29,,223,,5,5
8,16,2,26.8,16.6,22.2,13,,522,,1,1
8,16,2,30.3,20.9,26.1,11,,608,,1,1
8,16,2,30.3,20.9,26.1,11,,608,,1,1
3.6,6,1,13,9.1,11.2,25,,263,,4,6
3.6,6,1,13.6,9.6,11.8,24,,277,,4,6
1.4,4,1,9.7,7.3,8.6,33,,201,,6,7
1.4,4,1,10.2,7.7,9.1,31,,214,,5,7
1.2,3,1,8,7.6,7.8,36,,184,,6,7
1.3,3,1,8.2,7.4,7.9,36,,185,,6,7
1.3,3,1,9,8.2,8.6,33,,201,,6,7
2,4,1,10,7.6,8.9,32,,209,,5,7
2,4,1,10.5,8.2,9.5,30,,220,,5,7
2,4,2,10.2,7,8.8,32,,206,,6,7
2.7,4,2,11,7.6,9.5,30,,221,,5,6
2,4,2,10.5,7.6,9.2,31,,216,,5,7
2.7,4,2,11.4,8.2,10,28,,3,,5,6
2.7,4,2,11.9,8.2,10.2,28,,239,,5,6
2.7,4,2,12,8.4,10.4,27,,244,,5,6
3.6,6,2,15,9.7,12.6,22,,297,,4,5
3.6,6,2,15.2,10.2,13,22,,303,,3,5
2,4,2,10.3,7.1,8.8,32,,207,,6,7
3,6,2,12.4,8.7,10.7,26,,252,,5,5
2,4,2,10.9,7.8,9.5,30,,222,,5,7
3,6,2,12.8,9.1,11.1,25,,260,,4,5
3,6,2,12.8,8.7,11,26,,258,,4,5
3,6,2,12.8,9.1,11.1,25,,260,,4,5
6.2,8,2,18.1,10.7,14.8,19,,346,,3,3
6.2,8,2,18.3,11.4,15.2,19,,356,,3,3
3,6,3,11.7,9,10.5,27,,281,,4,3
6.2,8,2,16.3,12.7,14.7,19,,345,,3,6
6.2,8,2,17,12.7,15.1,19,,353,,3,6
2,4,2,10,7.8,9,31,,211,,5,7
2,4,2,10.9,8.2,9.7,29,,225,,5,7
2,4,2,10.8,8.2,9.6,29,,225,,5,7
2,4,2,11.2,8.7,10.1,28,,237,,5,7
3.6,6,1,12.9,9.2,11.2,25,,263,,4,6
2,4,2,11.2,9,10.2,28,,239,,5,7
3.6,6,1,13.1,9.5,11.5,25,,269,,4,6
2,4,1,10.6,8,9.4,30,,221,,5,7
3.6,6,1,12.3,8.8,10.7,26,,252,,5,6
2,4,1,10.8,8.7,9.9,29,,232,,5,7
3.6,6,1,12.6,9.2,11,26,,259,,4,6
2,4,2,10.9,7.8,9.5,30,,222,,5,5
2,4,2,12.6,8,10.5,27,,239,,5,5
3.6,6,1,12.8,8.1,10.7,26,,251,,5,6
3.6,6,1,14.4,9.1,12,24,,281,,4,6
6.2,8,2,14.6,8.9,12,24,,281,,4,1
6.2,8,2,14.9,9.9,12.6,22,,296,,4,1
6.2,8,2,18.3,11.2,15.1,19,,355,,3,1
6.2,8,2,17.2,12,14.9,19,,349,,3,1
2.5,4,1,12.2,9.4,10.9,26,,257,,5,6
2.8,4,3,11.8,7.9,10.1,28,,270,,4,3
3.6,6,1,12.9,9.3,11.3,25,,263,,4,6
2.5,4,1,12.6,9.9,11.4,25,,267,,4,6
2.8,4,3,12.2,8.4,10.5,27,,283,,4,3
3.6,6,1,14,9.9,12.1,23,,283,,4,6
2.8,4,3,13.3,10.6,12.1,23,,326,,3,3
3.6,6,1,15,13,14.1,20,,329,,3,6
6.2,8,2,15.1,9.6,12.6,22,,297,,4,5
1.5,4,1,8.9,7.7,8.4,34,,198,,6,7
1.5,4,1,9.4,8,8.8,32,,208,,6,7
1.5,4,1,8.2,6.6,7.5,38,,175,,7,7
2,4,2,10.7,7.1,9.1,31,,213,,5,5
2.7,4,1,12.5,10.6,11.6,24,,274,,4,6
3,6,3,10.2,7.5,8.9,32,,240,,5,3
5.3,8,1,16.2,12.3,14.5,19,,341,,3,3
5.3,8,E,21.5,16,19.1,15,,321,,3,3
5.3,8,1,15.1,11.3,13.4,21,,314,,3,6
5.3,8,1,14.4,11.3,13,22,,304,,3,6
2.7,4,1,13.9,12,13.1,22,,306,,3,6
2.7,4,1,14.7,13.1,14,20,,328,,3,6
3,6,3,10.9,9.1,10.1,28,,272,,4,3
3,6,3,10.5,9.1,9.9,29,,265,,4,3
3,6,3,11.8,10.3,11.2,25,,298,,4,3
5.3,8,1,16.5,12.8,14.8,19,,347,,3,3
5.3,8,E,22,16.4,19.5,14,,326,,3,3
5.3,8,1,17.4,14.7,16.2,17,,380,,2,3
5.3,8,E,23.1,19.6,21.5,13,,358,,2,3
5.3,8,1,15.6,11.9,13.9,20,,327,,3,6
5.3,8,1,16.9,13.3,15.3,18,,359,,2,6
5.3,8,1,14.7,11.8,13.4,21,,314,,3,6
5.3,8,1,16.8,12.4,14.8,19,,347,,3,6
5.3,8,1,15.3,12.3,13.9,20,,327,,3,6
5.3,8,1,16.1,12.4,14.4,20,,339,,3,6
5.3,8,1,16.6,14,15.4,18,,361,,2,6
5.3,8,1,16.8,13.9,15.5,18,,364,,2,6
5.3,8,1,18.1,13.8,16.2,17,,381,,2,6
6.2,8,2,15.7,11.9,14,20,,329,,3,6
6.2,8,2,16.6,12.3,14.7,19,,345,,3,6
6.2,8,2,16.5,13.2,15,19,,352,,3,6
6.2,8,2,16.5,13.2,15,19,,352,,3,6
6.2,8,2,18.2,14.2,16.4,17,,385,,2,6
6.2,8,2,16.7,14.1,15.5,18,,366,,2,6
1.4,4,1,7.7,6.2,7,40,,165,,7,5
1.4,4,1,8,6.2,7.2,39,,170,,7,5
3,6,3,11.2,8.7,10.1,28,,272,,4,3
5.3,8,1,15.8,11.8,14,20,,327,,3,6
5.3,8,1,16,11.9,14.1,20,,332,,3,6
3,6,3,11.7,9,10.5,27,,281,,4,3
5.3,8,1,15.9,12.4,14.3,20,,336,,3,6
5.3,8,1,17,12.7,15.1,19,,354,,3,6
6.2,8,2,16.3,12.7,14.7,19,,345,,3,6
6.2,8,2,17,12.7,15.1,19,,353,,3,6
3,6,3,11,8.4,9.8,29,,263,,4,3
5.3,8,1,15.8,11.8,14,20,,327,,3,6
5.3,8,1,16,11.9,14.1,20,,332,,3,6
3,6,3,11.7,9,10.5,27,,281,,4,3
5.3,8,1,15.8,11.8,14,20,,327,,3,6
5.3,8,1,17,12.7,15.1,19,,354,,3,6
6.2,8,2,16.3,12.7,14.7,19,,345,,3,6
6.2,8,2,17,12.7,15.1,19,,353,,3,6
1.2,3,1,8,7.6,7.8,36,,184,,6,7
1.3,3,1,8,7.2,7.6,37,,178,,7,7
1.3,3,1,8.9,7.8,8.4,34,,197,,6,7
3.6,6,1,13,8.8,11.1,25,,260,,4,6
3.6,6,1,13.6,9.6,11.8,24,,277,,4,6
1.4,4,1,9.7,7.3,8.6,33,,201,,6,7
1.4,4,1,10.2,7.7,9.1,31,,214,,5,7
3.6,6,1,12.4,7.8,10.3,27,,242,,5,5
5.7,8,1,14.7,9.4,12.3,23,,289,,4,3
3.6,6,1,12.8,8.7,11,26,,258,,4,5
3.6,6,1,12.4,8.4,10.6,27,,249,,5,5
3.6,6,1,12.4,8.4,10.6,27,,249,,5,5
3.6,6,1,14.1,9.4,12,24,,279,,4,5
3.6,6,1,12.4,7.8,10.3,27,,242,,5,5
5.7,8,1,14.7,9.4,12.3,23,,289,,4,3
5.7,8,2,15.6,10.1,13.1,22,,307,,3,1
6.4,8,2,15.8,9.6,13,22,,305,,3,1
6.4,8,2,16.7,10.4,13.9,20,,325,,3,1
3.6,6,1,12.8,8.7,11,26,,258,,4,5
6.4,8,2,15.8,9.6,13,22,,305,,3,1
6.4,8,2,16.7,10.4,13.9,20,,325,,3,1
6.2,8,2,17.6,10.7,14.5,19,,339,,3,1
6.2,8,2,18.1,11.4,15.1,19,,352,,3,1
6.2,8,2,18.6,11.3,15.3,18,,359,,2,1
6.2,8,2,18.1,11.4,15.1,19,,352,,3,1
3.6,6,1,12.4,7.8,10.3,27,,242,,5,5
5.7,8,1,14.7,9.4,12.3,23,,289,,4,3
6.4,8,2,15.8,9.6,13,22,,305,,3,1
3.6,6,1,12.8,8.7,11,26,,258,,4,5
6.4,8,2,15.8,9.6,13,22,,305,,3,1
6.2,8,2,19,11.5,15.6,18,,368,,2,1
3.6,6,1,12.7,9.6,11.3,25,,265,,4,7
5.7,8,1,16.7,10.9,14.1,20,,331,,3,5
6.4,8,2,18.3,12.2,15.6,18,,363,,2,1
1.3,4,1,10,7.9,9.1,31,,221,,5,6
2.3,4,1,12.1,11.2,11.7,24,,275,,4,5
2.3,4,1,12.1,11.4,11.8,24,,277,,4,5
2.7,6,1,12.8,11.9,12.4,23,,291,,4,6
2.3,4,1,13.5,14,13.7,21,,323,,3,5
2.3,4,1,14.9,13.5,14.3,20,,336,,3,5
2.7,6,1,14.1,14.1,14.1,20,,331,,3,6
2.3,4,1,13.1,13.1,13.1,22,,308,,3,5
2.3,4,1,13.8,12.4,13.2,21,,310,,3,5
2.3,4,1,13.1,13.8,13.4,21,,314,,3,5
2.3,4,1,13.8,13.1,13.5,21,,317,,3,5
2.7,6,1,14.1,14.1,14.1,20,,331,,3,6
1.5,3,1,9.3,8.4,8.9,32,,209,,5,7
2,4,1,11.1,9,10.2,27,,240,,5,5
2,4,1,10.4,8,9.3,30,,219,,5,5
2,4,1,11.5,8.4,10.1,28,,238,,5,6
2,4,1,11.6,8.5,10.2,28,,239,,5,6
2.7,6,1,12.6,9.3,11.2,25,,262,,4,5
1.5,3,1,8.5,6.8,7.8,36,,182,,6,7
1.5,3,1,9,7.6,8.4,34,,198,,6,7
2,4,1,10.5,7.5,9.2,31,,216,,5,5
2.5,4,1,5.4,6.3,5.8,49,,136,,8,7
2.5,4,1,5.5,6.4,5.9,48,,139,,8,7
3.5,6,1,14.8,10.6,12.9,22,,304,,3,6
3.5,6,1,15.4,11.2,13.5,21,,317,,3,6
3.5,6,1,14.5,12.3,13.5,21,,317,,3,6
3.5,6,1,15.2,12.3,13.9,20,,326,,3,6
2.3,4,1,11.7,8.6,10.3,27,,242,,5,6
2.3,4,1,12,9,10.7,26,,252,,5,6
2.3,4,1,12.2,10.5,11.5,25,,269,,4,6
2.3,4,1,12.5,11,11.8,24,,277,,4,6
