Engine Si2e(L),Cylin3ers,Fuel Type,Fuel Consumption (City (L/100 km),Fuel Consumption(Hwy (L/100 km)),Fuel Consumption(Comb (L/100 km)),Fuel Consumption(Comb (mpg)),,CO2 Emissions(g/km),,CO2 Rating,Smog Rating
3,6,1,13.4,9.8,11.8,24,,277,,4,5
3.3,6,1,10.1,9,9.6,29,,225,,5,6
2.7,6,1,12.1,9.4,10.9,26,,256,,5,6
2.7,6,1,13.5,10.1,12,24,,282,,4,6
3.3,6,1,12.1,9.8,11.1,25,,260,,4,6
3.3,6,E,16.8,12.8,15,19,,249,,5,6
3.5,6,1,13.1,9.9,11.7,24,,275,,4,6
3.5,6,1,13.7,10,12,24,,281,,4,6
5,8,1,14.4,10.8,12.8,22,,300,,3,5
5,8,E,20.8,14.3,17.9,16,,298,,4,5
5,8,1,14.7,10.6,12.9,22,,302,,3,5
5,8,E,20.1,14.1,17.4,16,,289,,4,5
2.7,6,1,12.9,10.1,11.7,24,,274,,4,6
3.3,6,1,12.6,10.7,11.8,24,,277,,4,6
3.3,6,E,17.3,13.1,15.4,18,,256,,5,6
3.5,6,1,13.5,10.3,12.1,23,,284,,4,6
3.5,6,1,14.6,11,13,22,,304,,3,6
5,8,1,14.7,10.8,12.9,22,,304,,3,5
5,8,E,21.2,14.2,18.1,16,,301,,3,5
5,8,1,15.1,10.7,13.1,22,,308,,3,5
5,8,E,20.7,14.2,17.8,16,,295,,4,5
3.5,6,1,15.8,13.2,14.6,19,,344,,3,6
3.5,6,1,16.8,13.2,15.2,19,,357,,2,6
3.5,6,1,16,14.4,15.3,18,,359,,2,6
3.5,6,1,16.6,14.8,15.8,18,,370,,2,6
3.5,6,1,14.3,11.8,13.2,21,,310,,3,6
3.5,6,1,14.7,11.7,13.3,21,,313,,3,6
3.5,6,1,9.8,9.7,9.7,29,,228,,5,6
3.5,6,1,10.3,10,10.2,28,,238,,5,6
3.5,6,2,19.9,12.8,16.7,17,,395,,2,3
2,4,1,10.7,8.1,9.6,29,,226,,5,5
2.5,4,1,5.6,7.1,6.3,45,,147,,8,6
2.3,4,1,11,7.4,9.3,30,,220,,5,5
2.3,4,1,11.4,7.9,9.8,29,,231,,5,5
2.3,4,1,11.7,8.6,10.3,27,,242,,5,5
2.3,4,1,11.5,8.2,10,28,,236,,5,5
2.3,4,1,11.9,8.7,10.5,27,,246,,5,5
5,8,1,15.2,9.7,12.7,22,,298,,4,3
5,8,1,16.1,10.1,13.4,21,,314,,3,3
2.3,4,1,11.7,8.1,10.1,28,,237,,5,5
2.3,4,1,12,8.5,10.4,27,,244,,5,5
2.3,4,1,12.1,8.9,10.7,26,,252,,5,5
2.3,4,1,11.8,8.6,10.4,27,,244,,5,5
2.3,4,1,12.3,9.2,10.9,26,,256,,5,5
5,8,1,15.8,10.4,13.4,21,,314,,3,3
5,8,1,15.2,10.1,12.9,22,,302,,3,3
5,8,1,17.1,11.2,14.5,19,,339,,3,3
2.3,4,1,11.9,9.7,10.9,26,,256,,5,6
2.3,4,1,12.4,9.7,11.2,25,,262,,4,6
2.3,4,1,12.4,12.3,12.4,23,,291,,4,3
5.2,8,2,19.9,12.7,16.7,17,,392,,2,3
2,4,1,9.8,8.9,9.4,30,,221,,5,6
2,4,1,9.8,8.9,9.4,30,,221,,5,5
2,4,E,13.3,11.9,12.7,22,,211,,5,5
2.5,4,1,12,8.9,10.6,27,,249,,5,5
2,4,1,10,8.3,9.2,31,,216,,5,6
2,4,1,10,8.3,9.2,31,,216,,5,5
2,4,E,14.7,11.3,13.2,21,,219,,5,5
2.5,4,1,12.1,9,10.6,27,,249,,5,5
3.3,6,2,13.5,9.1,11.5,25,,273,,4,3
2.5,4,2,10.8,7.9,9.5,30,,225,,5,5
3.5,6,2,14.8,9.9,12.6,22,,298,,4,5
5,8,2,15,10.1,12.8,22,,303,,3,5
2.5,4,2,10.7,8.4,9.7,29,,229,,5,5
3.5,6,2,12.9,10,11.6,24,,275,,4,5
2.5,4,2,11.3,9.5,10.5,27,,248,,5,5
3.5,6,2,12.9,10.4,11.8,24,,279,,4,5
2,4,1,10.6,8,9.4,30,,221,,5,7
3.6,6,1,12.3,8.8,10.7,26,,252,,5,6
2,4,1,10.8,8.7,9.9,29,,232,,5,7
3.6,6,1,12.6,9.2,11,26,,259,,4,6
2.5,4,1,12.2,9.4,10.9,26,,257,,5,6
2.8,4,3,11.8,7.9,10.1,28,,270,,4,3
3.6,6,1,12.9,9.3,11.3,25,,263,,4,6
2.5,4,1,12.6,9.9,11.4,25,,267,,4,6
2.8,4,3,12.2,8.4,10.5,27,,283,,4,3
3.6,6,1,14,9.9,12.1,23,,283,,4,6
2.7,4,1,12.5,10.6,11.6,24,,274,,4,6
3,6,3,10.2,7.8,9.1,31,,245,,5,3
5.3,8,1,16.2,12.3,14.5,19,,341,,3,3
5.3,8,E,21.5,16,19.1,15,,321,,3,3
5.3,8,1,15.1,11.3,13.4,21,,314,,3,6
5.3,8,1,14.4,11.3,13,22,,305,,3,6
2.7,4,1,13.9,12,13.1,22,,306,,3,6
2.7,4,1,14.7,13.1,14,20,,328,,3,6
3,6,3,10.5,9.1,9.9,29,,265,,4,3
3,6,3,11.8,10.3,11.2,25,,298,,4,3
5.3,8,1,16.5,12.8,14.8,19,,347,,3,3
5.3,8,E,22,16.4,19.5,14,,326,,3,3
5.3,8,1,17.4,14.7,16.2,17,,380,,2,3
5.3,8,E,23.1,19.6,21.5,13,,358,,2,3
5.3,8,1,15.6,11.9,13.9,20,,327,,3,6
5.3,8,1,16.9,13.3,15.3,18,,359,,2,6
5.3,8,1,14.9,12,13.6,21,,318,,3,6
5.3,8,1,16.8,12.4,14.8,19,,347,,3,6
5.3,8,1,15.4,12.3,14,20,,329,,3,6
5.3,8,1,16.1,12.4,14.4,20,,338,,3,6
5.3,8,1,16.6,14,15.4,18,,360,,2,6
5.3,8,1,18.1,13.8,16.2,17,,381,,2,6
6.2,8,2,15.7,11.9,14,20,,329,,3,6
6.2,8,2,16.6,12.3,14.7,19,,345,,3,6
6.2,8,2,16.5,13.2,15,19,,352,,3,6
6.2,8,2,18.2,14.2,16.4,17,,385,,2,6
1.5,4,1,9.2,7.8,8.6,33,,202,,6,7
1.5,4,1,9.6,8.3,9,31,,212,,5,7
3,6,3,11.2,8.7,10.1,28,,272,,4,3
5.3,8,1,15.8,11.8,14,20,,327,,3,6
5.3,8,1,16,11.9,14.1,20,,332,,3,6
3,6,3,11.7,9,10.5,27,,281,,4,3
5.3,8,1,15.8,11.8,14,20,,327,,3,6
5.3,8,1,17,12.7,15.1,19,,354,,3,6
6.2,8,2,16.3,12.7,14.7,19,,345,,3,6
6.2,8,2,17,12.7,15.1,19,,353,,3,6
3,6,3,11.2,8.7,10.1,28,,272,,4,3
5.3,8,1,15.8,11.8,14,20,,327,,3,6
5.3,8,1,16,11.9,14.1,20,,332,,3,6
3,6,3,11.7,9,10.5,27,,281,,4,3
5.3,8,1,15.9,12.4,14.3,20,,336,,3,6
5.3,8,1,17,12.7,15.1,19,,354,,3,6
6.2,8,2,16.3,12.7,14.7,19,,345,,3,6
6.2,8,2,17,12.7,15.1,19,,353,,3,6
1.5,4,1,7.8,6.5,7.2,39,,168,,7,7
1.5,4,1,8.1,6.8,7.5,38,,176,,7,7
2,4,1,10.4,7.4,9.1,31,,211,,5,7
2,4,1,5,5,5,56,,117,,9,7
2,4,1,5.3,5.7,5.5,51,,129,,8,7
1.5,4,1,7.7,6.3,7.1,40,,166,,7,7
1.5,4,1,8.5,6.3,7.5,38,,175,,7,6
2,4,1,8,6.2,7.2,39,,167,,7,7
2,4,1,9.1,6.6,8,35,,186,,6,6
1.5,4,1,7.6,6.1,6.9,41,,162,,7,7
2,4,1,7.7,6,6.9,41,,162,,7,7
2,4,1,7.8,6.3,7.1,40,,165,,7,7
1.5,4,2,8.7,6.4,7.7,37,,180,,7,6
1.5,4,1,8.3,7,7.7,37,,180,,7,6
1.5,4,1,8.7,7.4,8.1,35,,189,,6,6
1.8,4,1,8.4,7,7.8,36,,181,,6,5
1.8,4,1,8.8,7.5,8.2,34,,193,,6,5
1.8,4,1,9.1,7.7,8.5,33,,200,,6,5
3.5,6,1,12.2,8.5,10.6,27,,248,,5,5
3.5,6,1,12.5,9.8,11.3,25,,265,,4,3
3.5,6,1,12.4,9.3,11,26,,256,,5,3
3.5,6,1,12.3,9.5,11.1,25,,260,,4,3
3.5,6,1,12.8,9.9,11.5,25,,271,,4,3
1.6,4,1,8.4,6.6,7.6,37,,179,,7,5
2,4,1,7.6,5.7,6.7,42,,158,,7,5
2,4,1,7.1,5.5,6.4,44,,151,,7,5
2,4,1,9.1,6.3,7.8,36,,185,,6,5
2,4,2,12.1,7.9,10.2,28,,241,,5,3
2,4,2,10.9,7.7,9.4,30,,223,,5,3
1.6,4,1,4.5,4.2,4.4,64,,103,,9,7
1.6,4,1,4.3,4.1,4.2,67,,99,,9,7
1.6,4,1,4,3.9,4,71,,94,,10,7
2,4,1,8,6.6,7.4,38,,174,,7,7
2,4,2,11.8,8.7,10.4,27,,246,,5,3
1.6,4,1,8.8,7.4,8.2,34,,193,,6,5
2,4,1,8.5,7.2,7.9,36,,187,,6,7
3.8,6,1,12.3,9.6,11.1,25,,265,,4,5
2.5,4,1,12.1,8.6,10.6,27,,250,,5,5
2.5,4,1,11,8.5,9.9,29,,3,,5,5
2.5,4,1,10.6,9.3,10,28,,235,,5,7
1.6,4,1,7.1,7.9,7.4,38,,176,,7,7
1.6,4,1,8.8,6.4,7.7,37,,183,,6,5
2.5,4,1,10.1,7.2,8.8,32,,208,,6,5
2.5,4,1,8.8,6.4,7.7,37,,182,,6,7
2,4,1,5.3,4.6,5,56,,117,,9,7
2.5,4,1,9.1,7.1,8.2,34,,194,,6,5
2.5,4,1,9.9,8,9,31,,214,,5,5
1.6,4,1,6.3,6.6,6.4,44,,152,,7,7
2,4,2,12,8.6,10.5,27,,248,,5,3
2,4,2,10.6,8.3,9.5,30,,226,,5,3
1.6,4,1,7.9,6.9,7.5,38,,176,,7,5
1.6,4,1,8.6,6.8,7.8,36,,184,,6,5
3,6,2,12.5,8.7,10.8,26,,254,,5,3
3,6,2,12.5,9.3,11.1,25,,261,,4,3
3,6,2,12.3,8.7,10.7,26,,252,,5,3
3,6,2,12.5,9.2,11,26,,259,,4,3
2,4,2,10.8,8.3,9.7,29,,228,,5,6
2,4,2,10.5,8.3,9.5,30,,223,,5,6
3.5,6,2,11.9,9.5,10.8,26,,253,,5,5
5.6,8,2,17.5,12.2,15.1,19,,355,,3,3
2,4,2,11.5,9.2,10.4,27,,247,,5,7
2,4,2,11.2,9.2,10.3,27,,245,,5,7
5,8,2,14.1,9.7,12.1,23,,286,,4,3
5,8,2,15.2,9.8,12.7,22,,299,,3,3
5,8,2,14.1,9.7,12.1,23,,286,,4,3
5,8,2,15.2,9.8,12.7,22,,299,,3,3
5,8,2,15.2,9.8,12.7,22,,299,,3,3
5,8,2,15.2,9.8,12.7,22,,299,,3,3
2,4,1,10.4,7.6,9.1,31,,214,,5,5
2.4,4,1,10.8,7.5,9.3,30,,219,,5,6
3.2,6,1,11.9,8.2,10.2,28,,240,,5,5
2,4,1,11.2,8,9.8,29,,229,,5,5
2.4,4,1,11.2,8,9.8,29,,230,,5,6
3.2,6,1,12.2,8.6,10.6,27,,249,,5,5
3.2,6,1,12.9,9.7,11.5,25,,268,,4,5
2.4,4,1,10.6,7.6,9.3,30,,218,,5,6
2.4,4,1,10.8,7.8,9.5,30,,222,,5,6
3,6,3,10.8,8.5,9.8,29,,263,,4,1
3,6,3,11,8.7,10,28,,271,,4,1
3.6,6,1,13.7,10.7,12.3,23,,290,,4,7
3.6,6,1,14.3,10.4,12.6,22,,296,,4,5
3.6,6,1,12.3,9.2,10.9,26,,256,,5,7
5.7,8,1,16.7,10.9,14.1,20,,331,,3,5
3.6,6,1,13,9.4,11.3,25,,266,,4,7
5.7,8,1,16.7,10.9,14.1,20,,331,,3,5
3.6,6,1,12.7,9.6,11.3,25,,265,,4,7
6.4,8,2,18.6,12.8,16,18,,374,,2,1
1.3,4,1,9.8,7.4,8.7,32,,204,,6,6
1.3,4,1,10.1,8.1,9.2,31,,222,,5,6
1.3,4,1,10.8,8.7,9.9,29,,231,,5,6
5.7,8,1,15.6,11.7,13.8,20,,323,,3,5
2,4,1,10.7,9.8,10.3,27,,241,,5,5
3.6,6,1,12.8,10.4,11.8,24,,274,,4,7
3.6,6,1,12,9.8,11,26,,258,,4,5
3.6,6,1,13.7,9.6,11.8,24,,277,,4,5
2,4,1,11.5,9.9,10.8,26,,251,,5,5
3,6,3,10.6,8.1,9.5,30,,255,,5,1
3,6,3,11.2,9,10.2,28,,275,,4,1
3.6,6,1,12.9,10.2,11.7,24,,275,,4,7
3.6,6,1,12.3,9.9,11.2,25,,262,,4,5
3.6,6,1,13.8,10.1,12.2,23,,285,,4,5
6.4,8,2,18.5,14.1,16.5,17,,387,,2,1
3.5,6,1,12,8.9,10.6,27,,252,,5,5
1.6,4,1,8.7,6.6,7.8,36,,184,,6,5
2,4,1,7.9,5.9,7,40,,165,,7,5
2,4,1,8.8,6.1,7.6,37,,178,,7,5
1.6,4,1,8.9,6.9,8,35,,190,,6,5
2,4,1,8,6,7.1,40,,169,,7,5
2.5,4,1,9.9,7.3,8.7,32,,207,,6,5
1.6,4,1,9.2,7,8.2,34,,195,,6,5
1.6,4,1,4.4,4.9,4.6,61,,110,,9,7
1.6,4,1,4.4,4.9,4.6,61,,110,,9,7
1.6,4,1,5,5.6,5.3,53,,124,,9,7
1.6,4,1,7.2,6,6.7,42,,159,,7,3
1.6,4,1,7.7,6.1,7,40,,166,,7,3
2,4,1,8.2,7.1,7.7,37,,182,,6,5
1.6,4,1,9.4,7.9,8.7,32,,205,,6,5
2,4,1,8.8,7.6,8.2,34,,195,,6,5
2.5,4,1,10.9,8.7,9.9,29,,234,,5,5
2.5,4,1,10.1,9.2,9.7,29,,227,,5,5
1.6,4,1,6.4,7,6.6,43,,157,,7,7
2,4,1,8.5,7,7.9,36,,187,,6,7
2.4,4,1,10.1,7.6,9,31,,214,,5,5
2,4,1,12.1,9.6,11,26,,261,,4,5
2.4,4,1,10.8,9.1,10,28,,238,,5,5
3.3,6,2,13.7,9.6,11.9,24,,280,,4,3
3.8,6,1,12.7,9.7,11.3,25,,266,,4,5
6.5,12,2,26.5,14.6,21.2,13,,489,,1,1
6.5,12,2,26.8,15.1,21.5,13,,498,,1,1
6.5,12,2,26.8,15.1,21.5,13,,498,,1,1
5.2,10,2,18,12.9,15.7,18,,371,,2,1
5.2,10,2,18,12.9,15.7,18,,370,,2,1
5.2,10,2,18,12.9,15.7,18,,371,,2,1
5.2,10,2,18,12.9,15.7,18,,370,,2,1
4,8,2,19.2,14.1,16.9,17,,384,,2,3
2,4,2,13.2,11.3,12.3,23,,289,,4,7
3,6,2,13.5,10.8,12.3,23,,287,,4,7
5,8,2,15.8,12.4,14.3,20,,339,,3,3
2,4,2,14.2,11.7,13,22,,306,,3,7
3,6,2,13.5,10.8,12.3,23,,287,,4,7
5,8,2,16.4,12.7,14.7,19,,350,,3,3
2,4,2,12.2,10.6,11.5,25,,271,,4,7
3,6,2,12.8,9.8,11.4,25,,270,,4,7
3,6,2,13.3,10.2,11.9,24,,279,,4,7
3,6,2,13.3,10.2,11.9,24,,279,,4,7
5,8,2,14.4,11.3,13,22,,305,,3,3
5,8,2,14.4,11.3,13,22,,305,,3,3
5,8,2,17.1,12.6,15.1,19,,354,,3,3
5,8,2,17.9,12.7,15.5,18,,365,,2,3
3,6,2,12.7,9.9,11.4,25,,269,,4,7
3,6,2,12.7,9.9,11.4,25,,269,,4,7
5,8,2,14.1,10.7,12.6,22,,294,,4,3
5,8,2,16.2,12,14.3,20,,336,,3,3
2.5,4,1,9.5,7,8.4,34,,195,,6,6
2.5,4,1,5.5,5.2,5.3,53,,124,,9,7
3.5,6,1,10.7,7.3,9.2,31,,214,,5,5
3.5,6,1,10.9,7.5,9.4,30,,219,,5,5
4.6,8,2,16.2,12.3,14.5,19,,337,,3,3
2,4,2,11,7.6,9.5,30,,221,,5,5
3.5,6,2,12.2,9,10.8,26,,253,,5,5
3.5,6,2,12.2,9,10.8,26,,253,,5,5
5,8,2,14.1,9.3,11.9,24,,280,,4,5
5,8,2,15.1,9.6,12.6,22,,294,,4,5
5,8,2,16,9.5,13,22,,304,,3,5
3.5,6,2,9,7.1,8.1,35,,189,,6,7
3.4,6,2,13.8,8.7,11.2,25,,270,,4,5
3.5,6,2,10.1,8.1,9.2,31,,216,,5,7
3.4,6,2,14.2,10.8,12.7,22,,298,,4,5
2.5,4,1,9.4,7.4,8.4,34,,198,,6,6
2.4,4,2,10.5,8.3,9.5,30,,221,,5,7
2.4,4,2,10.5,8.4,9.5,30,,222,,5,7
2.5,4,2,5.7,6.4,6,47,,140,,8,7
3.5,6,2,12.2,9,10.8,26,,253,,5,5
3.5,6,2,12.2,9,10.8,26,,253,,5,5
5,8,2,14.4,9.6,12.2,23,,285,,4,5
3.5,6,1,12.2,9,10.8,26,,252,,5,5
3.5,6,1,13.1,9.4,11.1,25,,268,,4,5
3.5,6,2,7.5,8.4,7.9,36,,185,,6,7
3.5,6,2,8.1,8.4,8.1,35,,190,,6,7
2,4,1,8,6.3,7.2,39,,168,,7,6
2,4,1,5.7,6.2,6,47,,140,,8,7
3,6,1,13.7,9.7,11.9,24,,280,,4,5
2,4,1,11.1,8.1,9.8,29,,229,,5,5
2.3,4,1,11.2,8.3,9.9,29,,232,,5,5
2,4,1,11.8,9.4,10.7,26,,252,,5,6
2,4,1,11.8,9.4,10.7,26,,251,,5,6
2.7,6,1,12.6,9.3,11.2,25,,262,,4,5
3.5,6,1,15.2,10.8,13.2,21,,311,,3,6
3,6,2,13.4,9.4,11.6,24,,271,,4,3
3,6,2,13.4,9.4,11.6,24,,271,,4,3
3,6,2,14.8,9.8,12.6,22,,293,,4,3
3.8,8,2,17.4,11.9,14.9,19,,348,,3,1
3,6,2,15.1,10.9,13.2,21,,308,,3,3
3,6,2,15.1,10.9,13.2,21,,308,,3,3
